birdId,germanName,englishName,scientificName
bird-1,Amsel,Blackbird,Turdus merula
bird-2,Kleiber,Nuthatch,Sitta europaea
bird-3,Rotkehlchen,European Robin,Erithacus rubecula
bird-4,Maskenweber,Southern masked weaver, Ploceus velatus
bird-5,Hagedasch,Hadada ibis,Bostrychia hagedash
